time_limit,benchmark,job_n,mc_n,instance_i,makespan,run_t,convergence
1,DMU,30,20,3,4626,0.9735,2
1,DMU,30,20,4,5096,0.964,2
1,DMU,30,20,5,6083,1.0182,2
1,DMU,30,20,6,6002,1.173,2
1,DMU,30,20,7,5810,0.9105,2
1,DMU,30,20,8,5664,0.9684,2
1,DMU,30,20,9,6032,0.955,2
1,DMU,40,15,0,5171,0.9877,2
1,DMU,40,15,1,5494,1.0023,2
1,DMU,40,15,2,5645,1.0075,2
1,DMU,40,15,3,5184,1.0036,2
1,DMU,40,15,4,4608,0.958,2
1,DMU,40,15,5,6191,1.0295,2
1,DMU,40,15,6,6464,0.9965,2
1,DMU,40,15,7,6482,1.2602,2
1,DMU,40,15,8,6657,0.9591,2
1,DMU,40,15,9,6533,0.992,2
1,DMU,40,20,0,6161,0.7203,2
1,DMU,40,20,1,6550,0.7178,2
1,DMU,40,20,2,6131,0.7054,2
1,DMU,40,20,3,6294,0.7325,2
1,DMU,40,20,4,5849,0.7101,2
1,DMU,40,20,5,7781,0.7086,2
1,DMU,40,20,6,8286,0.727,2
1,DMU,40,20,7,7769,0.72,2
1,DMU,40,20,8,7288,1.0571,2
1,DMU,40,20,9,8108,0.6977,2
1,DMU,50,15,0,6652,0.7089,2
1,DMU,50,15,1,6612,0.687,2
1,DMU,50,15,2,6774,0.7009,2
1,DMU,50,15,3,6744,0.6896,2
1,DMU,50,15,4,6780,0.6897,2
1,DMU,50,15,5,7969,0.7086,2
1,DMU,50,15,6,8055,0.7349,2
1,DMU,50,15,7,7767,0.6877,2
1,DMU,50,15,8,7727,0.6722,2
1,DMU,50,15,9,7718,1.0441,2
1,DMU,50,20,0,7244,0.9459,2
1,DMU,50,20,1,7190,0.93,2
1,DMU,50,20,2,7595,0.9098,2
1,DMU,50,20,3,6985,0.9535,2
1,DMU,50,20,4,7116,0.9193,2
1,DMU,50,20,5,8816,0.9114,2
1,DMU,50,20,6,8700,1.0183,2
1,DMU,50,20,7,8734,0.9598,2
1,DMU,50,20,8,8837,0.9245,2
1,DMU,50,20,9,8864,0.9845,2
10,TA,15,15,0,1231.0,3.1476,4
10,TA,15,15,1,1245.0,10.0721,2
10,TA,15,15,2,1222.0,10.0438,2
10,TA,15,15,3,1175.0,10.0468,2
10,TA,15,15,4,1237.0,10.0533,2
10,TA,15,15,5,1250.0,10.0638,2
10,TA,15,15,6,1228.0,10.0532,2
10,TA,15,15,7,1217.0,10.0435,2
10,TA,15,15,8,1274.0,10.0581,2
10,TA,15,15,9,1241.0,10.0263,2
10,TA,20,15,0,1420.0,10.0466,2
10,TA,20,15,1,1392.0,10.0456,2
10,TA,20,15,2,1383.0,10.0757,2
10,TA,20,15,3,1345.0,2.2783,4
10,TA,20,15,4,1396.0,9.9759,2
10,TA,20,15,5,1434.0,9.9875,2
10,TA,20,15,6,1484.0,10.0466,2
10,TA,20,15,7,1464.0,10.0539,2
10,TA,20,15,8,1390.0,10.0528,2
10,TA,20,15,9,1373.0,10.047,2
10,TA,20,20,0,1678.0,10.0688,2
10,TA,20,20,1,1662.0,10.1094,2
10,TA,20,20,2,1623.0,10.0636,2
10,TA,20,20,3,1705.0,10.0621,2
10,TA,20,20,4,1647.0,10.0474,2
10,TA,20,20,5,1697.0,10.036,2
10,TA,20,20,6,1774.0,10.055,2
10,TA,20,20,7,1662.0,10.0437,2
10,TA,20,20,8,1679.0,10.0757,2
10,TA,20,20,9,1665.0,10.0584,2
10,TA,30,15,0,1913.0,10.0336,2
10,TA,30,15,1,1991.0,10.0712,2
10,TA,30,15,2,1971.0,9.8326,2
10,TA,30,15,3,1983.0,9.9724,2
10,TA,30,15,4,2007.0,2.5631,4
10,TA,30,15,5,1947.0,9.9817,2
10,TA,30,15,6,1980.0,10.0842,2
10,TA,30,15,7,1861.0,9.9391,2
10,TA,30,15,8,1900.0,9.9091,2
10,TA,30,15,9,1852.0,9.9165,2
10,TA,30,20,0,2214.0,10.2701,2
10,TA,30,20,1,2202.0,10.065,2
10,TA,30,20,2,2096.0,9.9938,2
10,TA,30,20,3,2274.0,9.8997,2
10,TA,30,20,4,2202.0,10.164,2
10,TA,30,20,5,2313.0,10.0625,2
10,TA,30,20,6,2131.0,9.9124,2
10,TA,30,20,7,2215.0,9.9858,2
10,TA,30,20,8,2241.0,10.154,2
10,TA,30,20,9,2168.0,9.9579,2
10,TA,50,15,0,3106.0,10.0589,2
10,TA,50,15,1,2985.0,9.5466,2
10,TA,50,15,2,2999.0,9.9969,2
10,TA,50,15,3,2906.0,9.6004,2
10,TA,50,15,4,2987.0,9.9339,2
10,TA,50,15,5,3176.0,9.755,2
10,TA,50,15,6,3169.0,9.7831,2
10,TA,50,15,7,3167.0,9.9862,2
10,TA,50,15,8,2974.0,9.9277,2
10,TA,50,15,9,3085.0,9.6857,2
10,TA,50,20,0,3378.0,10.1944,2
10,TA,50,20,1,3289.0,10.256,2
10,TA,50,20,2,3095.0,9.9674,2
10,TA,50,20,3,3158.0,9.6195,2
10,TA,50,20,4,3154.0,9.6179,2
10,TA,50,20,5,3364.0,9.3957,2
10,TA,50,20,6,3243.0,10.0129,2
10,TA,50,20,7,3195.0,9.4895,2
10,TA,50,20,8,3538.0,9.8363,2
10,TA,50,20,9,3502.0,9.7271,2
10,TA,100,20,0,6198.0,8.9178,2
10,TA,100,20,1,5911.0,9.3034,2
10,TA,100,20,2,6308.0,8.9741,2
10,TA,100,20,3,5886.0,9.0724,2
10,TA,100,20,4,6101.0,8.9862,2
10,TA,100,20,5,6253.0,9.2832,2
10,TA,100,20,6,5964.0,9.0835,2
10,TA,100,20,7,6017.0,9.008,2
10,TA,100,20,8,5935.0,9.2395,2
10,TA,100,20,9,5814.0,9.1195,2
10,LA,10,5,0,666.0,0.0353,4
10,LA,10,5,1,655.0,0.0415,4
10,LA,10,5,2,597.0,0.0413,4
10,LA,10,5,3,590.0,0.04,4
10,LA,10,5,4,593.0,0.0243,4
10,LA,15,5,0,926.0,0.0552,4
10,LA,15,5,1,890.0,0.07,4
10,LA,15,5,2,863.0,0.0705,4
10,LA,15,5,3,951.0,0.0386,4
10,LA,15,5,4,958.0,0.0396,4
10,LA,20,5,0,1222.0,0.0989,4
10,LA,20,5,1,1039.0,0.0514,4
10,LA,20,5,2,1150.0,0.1622,4
10,LA,20,5,3,1292.0,0.0655,4
10,LA,20,5,4,1207.0,0.1201,4
10,LA,10,10,0,945.0,0.1912,4
10,LA,10,10,1,784.0,0.0774,4
10,LA,10,10,2,848.0,0.099,4
10,LA,10,10,3,842.0,0.5921,4
10,LA,10,10,4,902.0,0.1353,4
10,LA,15,10,0,1046.0,10.0428,2
10,LA,15,10,1,927.0,0.7506,4
10,LA,15,10,2,1032.0,0.1651,4
10,LA,15,10,3,935.0,10.0564,2
10,LA,15,10,4,977.0,10.0352,2
10,LA,20,10,0,1218.0,3.4354,4
10,LA,20,10,1,1241.0,10.015,2
10,LA,20,10,2,1216.0,0.3915,4
