benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan
LA,20,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1271
LA,20,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1310
LA,20,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1399
LA,30,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1802
LA,30,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1857
LA,30,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1752
LA,30,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1729
LA,30,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1902
LA,15,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1357
LA,15,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1516
LA,15,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1354
LA,15,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1445
LA,15,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1323
ABZ,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1305
ABZ,10,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,980
ABZ,20,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,711
ABZ,20,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,734
ABZ,20,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,768
FT,6,6,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,58
FT,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,996
FT,20,5,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1203
ORB,10,10,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1185
ORB,10,10,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,985
ORB,10,10,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1077
ORB,10,10,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1077
ORB,10,10,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,973
ORB,10,10,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1124
