benchmark,job_n,mc_n,instance_i,agent_type,action_type,rule,makespan,time
TA,15,15,7,rule,buffer,LTT,1508,0.1704
TA,15,15,7,rule,buffer,MOR,1463,0.1704
TA,15,15,7,rule,buffer,FDD/MWKR,1450,0.1704
TA,15,15,7,rule,buffer,LRPT,1491,0.1704
TA,15,15,7,rule,buffer,SPT,1457,0.1704
TA,15,15,8,rule,buffer,LTT,1573,0.1764
TA,15,15,8,rule,buffer,MOR,1544,0.1764
TA,15,15,8,rule,buffer,FDD/MWKR,1603,0.1764
TA,15,15,8,rule,buffer,LRPT,1541,0.1764
TA,15,15,8,rule,buffer,SPT,1622,0.1764
TA,15,15,9,rule,buffer,LTT,1581,0.1861
TA,15,15,9,rule,buffer,MOR,1555,0.1861
TA,15,15,9,rule,buffer,FDD/MWKR,1509,0.1861
TA,15,15,9,rule,buffer,LRPT,1534,0.1861
TA,15,15,9,rule,buffer,SPT,1697,0.1861
TA,20,15,0,rule,buffer,LTT,1570,0.292
TA,20,15,0,rule,buffer,MOR,1720,0.292
TA,20,15,0,rule,buffer,FDD/MWKR,1663,0.292
TA,20,15,0,rule,buffer,LRPT,1685,0.292
TA,20,15,0,rule,buffer,SPT,1865,0.292
TA,20,15,1,rule,buffer,LTT,1619,0.2561
TA,20,15,1,rule,buffer,MOR,1611,0.2561
TA,20,15,1,rule,buffer,FDD/MWKR,1712,0.2561
TA,20,15,1,rule,buffer,LRPT,1707,0.2561
TA,20,15,1,rule,buffer,SPT,1667,0.2561
TA,20,15,2,rule,buffer,LTT,1598,0.2581
TA,20,15,2,rule,buffer,MOR,1605,0.2581
TA,20,15,2,rule,buffer,FDD/MWKR,1644,0.2581
TA,20,15,2,rule,buffer,LRPT,1690,0.2581
TA,20,15,2,rule,buffer,SPT,1802,0.2581
TA,20,15,3,rule,buffer,LTT,1556,0.2521
TA,20,15,3,rule,buffer,MOR,1689,0.2521
TA,20,15,3,rule,buffer,FDD/MWKR,1553,0.2521
TA,20,15,3,rule,buffer,LRPT,1563,0.2521
TA,20,15,3,rule,buffer,SPT,1635,0.2521
TA,20,15,4,rule,buffer,LTT,1642,0.2505
TA,20,15,4,rule,buffer,MOR,1673,0.2505
TA,20,15,4,rule,buffer,FDD/MWKR,1674,0.2505
TA,20,15,4,rule,buffer,LRPT,1696,0.2505
TA,20,15,4,rule,buffer,SPT,1835,0.2505
TA,20,15,5,rule,buffer,LTT,1604,0.2542
TA,20,15,5,rule,buffer,MOR,1613,0.2542
TA,20,15,5,rule,buffer,FDD/MWKR,1608,0.2542
TA,20,15,5,rule,buffer,LRPT,1584,0.2542
TA,20,15,5,rule,buffer,SPT,1965,0.2542
