benchmark,job_n,mc_n,instance_i,agent_type,action_type,state_type,rule,makespan,run_t,mean_transit_t,decision_n
TA,20,20,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1787,7.5301,0.0333,226
TA,30,15,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1900,11.4247,0.0333,343
TA,30,15,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1974,11.8066,0.0323,366
TA,30,15,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2016,10.6246,0.0302,352
TA,30,15,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2041,11.5346,0.0337,342
TA,30,15,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2081,10.9676,0.0334,328
TA,30,15,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1971,10.3579,0.0306,338
TA,30,15,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2095,11.5346,0.0334,345
TA,30,15,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1919,11.5031,0.0332,346
TA,30,15,8,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,1934,11.2138,0.0336,334
TA,30,15,9,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2007,11.6301,0.0331,351
TA,30,20,0,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2272,13.6321,0.032,426
TA,30,20,1,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2168,14.0463,0.0338,416
TA,30,20,2,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2098,13.6475,0.0346,395
TA,30,20,3,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2241,12.681,0.0315,402
TA,30,20,4,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2226,13.9247,0.0342,407
TA,30,20,5,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2258,13.5475,0.0345,393
TA,30,20,6,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2171,13.8539,0.0347,399
TA,30,20,7,GNN_BC_policy,conflict,mc_gap_mc_load_prt_norm,Ours,2227,12.9682,0.0323,401
